country,year,type,value
Australia,2010,PHARMA,57.8
Australia,2010,DEATH,3946
Australia,2011,PHARMA,59.6
Australia,2011,DEATH,4211
Australia,2012,PHARMA,60.5
Australia,2012,DEATH,4241
Australia,2013,PHARMA,57.5
Australia,2013,DEATH,4333
Australia,2014,PHARMA,57.5
Australia,2014,DEATH,4357
Australia,2015,PHARMA,57.5
Australia,2015,DEATH,4690
Australia,2016,PHARMA,56.7
Australia,2016,DEATH,4783
Australia,2017,PHARMA,57.1
Australia,2017,DEATH,4865
Australia,2018,PHARMA,57.8
Australia,2018,DEATH,4656
Australia,2019,PHARMA,57.5
Australia,2019,DEATH,4983
Australia,2020,PHARMA,60
Australia,2020,DEATH,5148
Austria,2010,PHARMA,45.4
Austria,2010,DEATH,3011
Austria,2011,PHARMA,46.3
Austria,2011,DEATH,2902
Austria,2012,PHARMA,45.9
Austria,2012,DEATH,2972
Austria,2013,PHARMA,46
Austria,2013,DEATH,2872
Austria,2014,PHARMA,46.4
Austria,2014,DEATH,3121
Austria,2015,PHARMA,46.3
Austria,2015,DEATH,3463
Austria,2016,PHARMA,46.9
Austria,2016,DEATH,3300
Austria,2017,PHARMA,47.2
Austria,2017,DEATH,3158
Austria,2018,PHARMA,46.3
Austria,2018,DEATH,3078
Austria,2019,PHARMA,47.5
Austria,2019,DEATH,2656
Austria,2020,PHARMA,49.4
Austria,2020,DEATH,2855
Belgium,2010,PHARMA,60.5
Belgium,2010,DEATH,1623
Belgium,2011,PHARMA,61.7
Belgium,2011,DEATH,1588
Belgium,2012,PHARMA,63.2
Belgium,2012,DEATH,1708
Belgium,2013,PHARMA,65
Belgium,2013,DEATH,1614
Belgium,2014,PHARMA,66.3
Belgium,2014,DEATH,1535
Belgium,2015,PHARMA,68
Belgium,2015,DEATH,1506
Belgium,2016,PHARMA,70
Belgium,2016,DEATH,1448
Belgium,2017,PHARMA,71
Belgium,2017,DEATH,1528
Belgium,2018,PHARMA,72.8
Belgium,2018,DEATH,1499
Belgium,2019,PHARMA,0
Belgium,2019,DEATH,0
Belgium,2020,PHARMA,0
Belgium,2020,DEATH,0
Canada,2010,PHARMA,75.8
Canada,2010,DEATH,6942
Canada,2011,PHARMA,78
Canada,2011,DEATH,7194
Canada,2012,PHARMA,77.7
Canada,2012,DEATH,6993
Canada,2013,PHARMA,55.4
Canada,2013,DEATH,7045
Canada,2014,PHARMA,57
Canada,2014,DEATH,7071
Canada,2015,PHARMA,57.6
Canada,2015,DEATH,7172
Canada,2016,PHARMA,58.1
Canada,2016,DEATH,6838
Canada,2017,PHARMA,58.1
Canada,2017,DEATH,6882
Canada,2018,PHARMA,58.3
Canada,2018,DEATH,6794
Canada,2019,PHARMA,79
Canada,2019,DEATH,6912
Canada,2020,PHARMA,0
Canada,2020,DEATH,0
Chile,2010,PHARMA,61.1
Chile,2010,DEATH,3684
Chile,2011,PHARMA,62.2
Chile,2011,DEATH,3426
Chile,2012,PHARMA,64.9
Chile,2012,DEATH,3713
Chile,2013,PHARMA,65
Chile,2013,DEATH,3743
Chile,2014,PHARMA,66.8
Chile,2014,DEATH,4185
Chile,2015,PHARMA,67.5
Chile,2015,DEATH,4726
