Country,Year,Value
Australia,2010,145.8
Australia,2011,151.5
Australia,2012,153.5
Australia,2013,150
Australia,2014,151.9
Australia,2015,151.3
Australia,2016,149.5
Australia,2017,149.3
Australia,2018,150.8
Australia,2019,144.2
Australia,2020,139.2
Australia,2021,143.1
Austria,2010,146.3
Austria,2011,154.1
Austria,2012,161.1
Austria,2013,168.7
Austria,2014,175.3
Austria,2015,171.3
Austria,2016,155.8
Austria,2017,149.2
Austria,2018,143.5
Austria,2019,144.4
Austria,2020,148.3
Austria,2021,147.8
Belgium,2010,148.5
Belgium,2011,153.9
Belgium,2012,159.5
Belgium,2013,165.3
Belgium,2014,170.9
Belgium,2015,177.9
Belgium,2016,189
Belgium,2017,174.2
Belgium,2018,181.1
Belgium,2019,187.1
Belgium,2020,189.4
Belgium,2021,192.4
Canada,2010,107.8
Canada,2011,111.1
Canada,2012,112.5
Canada,2013,114.2
Canada,2014,117.6
Canada,2015,119.3
Canada,2016,196
Canada,2017,198.1
Canada,2018,203.1
Canada,2019,210.5
Canada,2020,235.1
Canada,2021,263.8
Canada,2022,285.1
Czechia,2010,236.8
Czechia,2011,240.5
Czechia,2012,246.5
Czechia,2013,256
Czechia,2014,259.9
Czechia,2015,281
Czechia,2016,285.9
Czechia,2017,292.3
Czechia,2018,306.3
Czechia,2019,303.3
Czechia,2020,337
Czechia,2021,353.3
Denmark,2010,154.3
Denmark,2011,157.9
Denmark,2012,163.3
Denmark,2013,165.4
Denmark,2014,169.5
Denmark,2015,174.2
Denmark,2016,178
Denmark,2017,180.2
Denmark,2018,181.9
Denmark,2019,186
Denmark,2020,194.2
Denmark,2021,202.5
Finland,2010,312
Finland,2011,314
Finland,2012,309.2
Finland,2013,305.7
Finland,2014,306.1
Finland,2015,305.9
Finland,2016,307.4
Finland,2017,302.3
Finland,2018,305.1
Finland,2019,315
Finland,2020,326.4
Finland,2021,334.6
France,2010,135
France,2011,142.5
France,2012,154.4
France,2013,161.3
France,2014,163.1
France,2015,166.3
France,2016,172.1
France,2017,171.4
France,2018,169.8
France,2019,176.7
France,2020,170.3
France,2021,177
Germany,2010,183.1
Germany,2011,190.3
Germany,2012,217
Germany,2013,221.7
Germany,2014,227
Germany,2015,228.7
Germany,2016,232.8
Germany,2017,227.4
Germany,2018,228.9
Germany,2019,230.4
